# CEFR Vocabulary Database (A1=1, A2=2, B1=3, B2=4, C1=5, C2=6)
# Word	Level
'm	1
're	1
's	1
a	1
a.m.	1
about	1
above	1
action	1
activity	1
actor	1
add	1
address	1
aeroplane	1
afraid	1
after	1
afternoon	1
again	1
age	1
ago	1
agree	1
airplane	1
airport	1
album	1
all	1
all right	1
almost	1
alone	1
along	1
already	1
also	1
always	1
am	1
an	1
and	1
angry	1
animal	1
another	1
answer	1
any	1
anybody	1
anyone	1
anything	1
apple	1
april	1
apron	1
are	1
arm	1
around	1
arrive	1
art	1
article	1
as	1
ask	1
at	1
august	1
aunt	1
autumn	1
awake	1
away	1
baby	1
back	1
bad	1
bag	1
ball	1
banana	1
band	1
bank	1
bar	1
baseball	1
basketball	1
bat	1
bath	1
bathroom	1
be	1
beach	1
bean	1
bear	1
beautiful	1
because	1
become	1
bed	1
bedroom	1
bee	1
beef	1
before	1
begin	1
behind	1
believe	1
bell	1
below	1
beside	1
best	1
better	1
between	1
bicycle	1
big	1
bike	1
bird	1
birth	1
birthday	1
biscuit	1
black	1
blank	1
block	1
blow	1
blue	1
board	1
boat	1
body	1
bone	1
book	1
bookstore	1
boring	1
borrow	1
both	1
bottle	1
bottom	1
bowl	1
box	1
boy	1
boyfriend	1
brain	1
bread	1
break	1
breakfast	1
breathe	1
bridge	1
bright	1
bring	1
broken	1
brother	1
brown	1
brush	1
bucket	1
build	1
building	1
burger	1
bus	1
business	1
busy	1
but	1
butter	1
butterfly	1
button	1
buy	1
by	1
bye	1
cafe	1
café	1
cake	1
call	1
camera	1
camp	1
can	1
candy	1
cap	1
car	1
card	1
care	1
careful	1
carefully	1
carry	1
cartoon	1
case	1
cat	1
catch	1
cd	1
cd player	1
celebrate	1
celebration	1
chair	1
change	1
character	1
check	1
cheese	1
chicken	1
child	1
chocolate	1
choose	1
church	1
cinema	1
circle	1
city	1
class	1
classmate	1
classroom	1
clean	1
clever	1
climb	1
clock	1
close	1
closed	1
cloth	1
clothes	1
cloud	1
cloudy	1
club	1
coach	1
coat	1
code	1
coffee	1
coke	1
cold	1
collect	1
collection	1
college	1
color	1
colour	1
come	1
computer	1
concert	1
contest	1
conversation	1
cook	1
cookie	1
cool	1
cop	1
copy	1
corn	1
corner	1
correct	1
couch	1
could	1
course	1
cousin	1
cover	1
cow	1
cream	1
credit card	1
cry	1
culture	1
cup	1
cut	1
cute	1
dad	1
daddy	1
dance	1
dancing	1
dark	1
date	1
daughter	1
day	1
dear	1
december	1
delicious	1
describe	1
design	1
desk	1
dictionary	1
did	1
difference	1
different	1
difficult	1
dig	1
dining room	1
