# Russian CEFR Vocabulary Database (A1=1, A2=2, B1=3, B2=4, C1=5, C2=6)
# Word	Level
я	1
не	1
что	1
в	1
и	1
ты	1
это	1
на	1
с	1
он	1
мы	1
как	1
вы	1
да	1
мне	1
у	1
нет	1
меня	1
так	1
но	1
а	1
его	1
все	1
она	1
тебя	1
о	1
если	1
за	1
бы	1
тебе	1
они	1
чтобы	1
же	1
есть	1
просто	1
из	1
к	1
для	1
ну	1
когда	1
хорошо	1
здесь	1
по	1
был	1
знаю	1
то	1
только	1
всё	1
было	1
вас	1
может	1
нас	1
вот	1
от	1
быть	1
кто	1
будет	1
почему	1
вам	1
их	1
очень	1
могу	1
уже	1
спасибо	1
или	1
нам	1
еще	1
там	1
нужно	1
сейчас	1
где	1
чем	1
хочу	1
ничего	1
этого	1
была	1
мой	1
ее	1
ладно	1
знаешь	1
п	1
до	1
этом	1
потому	1
теперь	1
думаю	1
больше	1
её	1
со	1
раз	1
ему	1
надо	1
время	1
этот	1
ли	1
ещё	1
пока	1
даже	1
привет	1
сказал	1
себя	1
должен	1
тоже	1
хочешь	1
давай	1
что-то	1
никогда	1
эй	1
того	1
тогда	1
него	1
ни	1
тут	1
были	1
конечно	1
правда	1
об	1
моя	1
пожалуйста	1
тобой	1
сказать	1
сегодня	1
один	1
лучше	1
можешь	1
сюда	1
мной	1
значит	1
сделать	1
всегда	1
дело	1
можно	1
ей	1
должны	1
порядке	1
без	1
день	1
том	1
буду	1
делать	1
хотел	1
чего	1
эти	1
много	1
после	1
этим	1
всего	1
во	1
твой	1
ним	1
лет	1
боже	1
них	1
сэр	1
ведь	1
мистер	1
жизнь	1
потом	1
ней	1
такой	1
который	1
всех	1
через	1
им	1
возможно	1
немного	1
такое	1
слишком	1
себе	1
зачем	1
должна	1
моей	1
люди	1
знаете	1
этой	1
думаешь	1
свою	1
точно	1
человек	1
твоя	1
под	1
сказала	1
назад	1
из-за	1
эту	1
можем	1
случилось	1
мама	1
мог	1
вместе	1
отец	1
сделал	1
мои	1
кажется	1
друг	1
куда	1
никто	1
поэтому	1
эта	1
которые	1
два	1
тот	1
сколько	1
понимаю	1
снова	1
жизни	1
нравится	1
людей	1
помочь	1
видел	1
люблю	1
хочет	1
место	1
знать	1
кто-то	1
прости	1
отлично	1
похоже	1
парень	1
домой	1
всем	1
деньги	1
иди	1
времени	1
дома	1
именно	1
доктор	1
думал	1
говорил	1
делаешь	1
будем	1
прямо	1
стоит	1
поговорить	1
найти	1
разве	1
слушай	1
своей	1
лишь	1
ага	1
можете	1
простите	1
хотела	1
сам	1
что-нибудь	1
тем	1
будешь	1
прошу	1
три	1
деле	1
хотите	1
говорить	1
давайте	1
совсем	1
знал	1
знает	1
какой	1
моего	1
скажи	1
дом	1
дела	1
вами	1
свои	1
ж	1
говорит	1
несколько	1
должно	1
про	1
ваш	1
происходит	1
жаль	1
туда	1
действительно	1
папа	1
завтра	1
оно	1
черт	1
одна	1
перед	1
наш	1
уверен	1
отсюда	1
нужна	1
самом	1
тех	1
нужен	1
свой	1
мою	1
кого	1
верно	1
работу	1
каждый	1
твоей	1
будут	1
хватит	1
понял	1
нее	1
уж	1
имя	1
против	1
кое-что	1
пор	1
чём	1
раньше	1
говорю	1
более	1
надеюсь	1
итак	1
при	1
ваша	1
вообще	1
пошли	1
мать	1
нельзя	1
наверное	1
нами	1
твои	1
могли	1
дай	1
ради	1
всю	1
ребята	1
ко	1
хотя	1
понимаешь	1
идти	1
этих	1
откуда	1
такая	1
ясно	1
другой	1
извините	1
вижу	1
видеть	1
над	1
могут	1
равно	1
мисс	1
скоро	1
будто	1
зовут	1
виду	1
наши	1
думала	1
послушай	1
между	1
своего	1
вопрос	1
этому	1
почти	1
года	1
человека	1
которая	1
подожди	1
руки	1
нормально	1
такие	1
возьми	1
минут	1
извини	1
вещи	1
могла	1
смотри	1
хоть	1
работа	1
пару	1
сын	1
ваше	1
дня	1
пора	1
неё	1
жить	1
видишь	1
достаточно	1
господи	1
быстро	1
твою	1
весь	1
убить	1
ночь	1
говоришь	1
собой	1
скажу	1
готов	1
слышал	1
какая	1
посмотри	1
первый	1
самое	1
видела	1
пусть	1
месте	1
нашли	1
сказали	1
плохо	1
смогу	1
ваши	1
отца	1
детей	1
знаем	1
рад	1
прав	1
никаких	1
имею	1
миссис	1
иногда	1
смерти	1
своих	1
пойду	1
брат	1
вроде	1
рядом	1
мир	1
произошло	1
которую	1
сделала	1
говорила	1
знала	1
мое	1
одного	1
таким	1
помощь	1
такого	1
кем	1
насчет	1
вчера	1
случае	1
увидеть	1
нашей	1
говорят	1
правильно	1
убил	1
одно	1
пойти	1
друга	1
сама	1
долго	1
работать	1
дверь	1
делает	1
женщина	1
важно	1
кроме	1
будь	1
собираюсь	1
вашей	1
нужны	1
здорово	1
номер	1
проблема	1
проблемы	1
денег	1
чёрт	1
хороший	1
твоего	1
одну	1
дальше	1
вернуться	1
давно	1
последний	1
ночи	1
узнать	1
уверена	1
машину	1
права	1
пять	1
моих	1
также	1
тому	1
вечером	1
дети	1
опять	1
вообще-то	1
серьезно	1
работает	1
своим	1
сначала	1
две	1
одной	1
моим	1
те	1
жена	1
думаете	1
помнишь	1
глаза	1
ними	1
чувак	1
ночью	1
чувствую	1
взять	1
сразу	1
утром	1
часть	1
придется	1
стать	1
идея	1
дорогая	1
прекрасно	1
слова	1
сделали	1
видели	1
наша	1
сердце	1
помню	1
парня	1
момент	1
утро	1
здравствуйте	1
стал	1
скорее	1
ох	1
большой	1
кто-нибудь	1
часов	1
год	1
друзья	1
сильно	1
говори	1
смысле	1
которой	1
уйти	1
которого	1
капитан	1
работы	1
любовь	1
дочь	1
новый	1
боюсь	1
имеет	1
стой	1
дней	1
той	1
голову	1
ах	1
столько	1
понятно	1
дать	1
девушка	1
довольно	1
доме	1
вечер	1
оба	1
пойдем	1
увидимся	1
шанс	1
хорошая	1
прежде	1
сделаю	1
какого	1
быстрее	1
понять	1
рассказать	1
вашего	1
бог	1
интересно	1
затем	1
умер	1
обо	1
никого	1
парни	1
самый	1
твое	1
вон	1
пришел	1
чтоб	1
поверить	1
слово	1
будете	1
нашел	1
милая	1
странно	1
какие	1
ой	1
та	1
однажды	1
сможешь	1
получить	1
обычно	1
ума	1
полагаю	1
алло	1
посмотреть	1
иначе	1
наших	1
тело	1
хотели	1
свое	1
пришли	1
моё	1
другие	1
выглядит	1
подумал	1
лицо	1
приятно	1
мам	1
говорите	1
обратно	1
нашего	1
телефон	1
мире	1
честь	1
господин	1
доброе	1
план	1
другом	1
час	1
джон	1
пути	1
делал	1
типа	1
посмотрим	1
насколько	1
пытался	1
правду	1
решил	1
поздно	1
нем	1
работе	1
любит	1
хотят	1
кому	1
сестра	1
какой-то	1
места	1
кого-то	1
скажешь	1
следующий	1
других	1
получил	1
кстати	1
говорили	1
пришла	1
безопасности	1
рада	1
когда-нибудь	1
город	1
внимание	1
кофе	1
которое	1
вся	1
семья	1
конец	1
позже	1
дал	1
думать	1
спать	1
вернулся	1
остаться	1
некоторые	1
кровь	1
оружие	1
пришлось	1
хуже	1
дорогой	1
полиция	1
сможем	1
понимаете	1
четыре	1
которых	1
ужасно	1
ждать	1
способ	1
делаю	1
готовы	1
совершенно	1
смотреть	1
вернусь	1
большое	1
единственный	1
вперед	1
часа	1
где-то	1
муж	1
идет	1
таких	1
ребенка	1
машина	1
стороны	1
смог	1
сына	1
играть	1
сами	1
верю	1
честно	1
нашла	1
звучит	1
угодно	1
как-то	1
руку	1
начала	1
перевод	1
какое	1
взял	1
станет	1
пытаюсь	1
внутри	1
знали	1
новости	1
добрый	1
подождите	1
скажите	1
ребенок	1
вашу	1
мальчик	1
осталось	1
делаете	1
году	1
мере	1
поняла	1
отношения	1
далеко	1
вокруг	1
хотим	1
слышала	1
двух	1
приятель	1
никому	1
мужчина	1
неделю	1
вернуть	1
смерть	1
сих	1
ту	1
сможет	1
the	1
дайте	1
двое	1
видите	1
долларов	1
крови	1
решение	1
путь	1
следует	1
неужели	1
около	1
готова	1
семьи	1
идем	1
смотрите	1
круто	1
история	1
вдруг	1
спросить	1
i	1
твоих	1
второй	1
вина	1
