# JLPT Vocabulary Database (N5=1, N4=2, N3=3, N2=4, N1=5)
# Word	Level
expression	1
reading	1
〜を	1
ああ	1
あう	1
あお	1
あおい	1
あか	1
あかい	1
あかるい	1
あき	1
あく	1
あける	1
あげる	1
あさ	1
あさごはん	1
あさって	1
あし	1
あした	1
あそこ	1
あそぶ	1
あたたかい	1
あたま	1
あたらしい	1
あちら	1
あっち	1
あつい	1
あと	1
あなた	1
あに	1
あね	1
あの	1
あびる	1
あぶない	1
あまい	1
あまり	1
あめ	1
あらう	1
ある	1
あるく	1
あれ	1
いい	1
いいえ	1
いう	1
いえ	1
いかが	1
いく	1
いくつ	1
いくら	1
いけ	1
いしゃ	1
いす	1
いそがしい	1
いたい	1
いち	1
いちにち	1
いちばん	1
いっしょ	1
いつ	1
いつか	1
いつつ	1
いつも	1
いぬ	1
いま	1
いみ	1
いもうと	1
いや	1
いりぐち	1
いる	1
いれる	1
いろ	1
いろいろ	1
うえ	1
うしろ	1
うすい	1
うた	1
うたう	1
うち	1
うまれる	1
うみ	1
うる	1
うるさい	1
うわぎ	1
え	1
えいが	1
えいがかん	1
えいご	1
ええ	1
えき	1
えんぴつ	1
おいしい	1
おおい	1
おおきい	1
おおきな	1
おおぜい	1
おかあさん	1
おかし	1
おかね	1
おきる	1
おく	1
おくさん	1
おさけ	1
おさら	1
おしえる	1
おじいさん	1
おじさん	1
おす	1
おそい	1
おちゃ	1
おてあらい	1
おとうさん	1
おとうと	1
おとこ	1
おとこのこ	1
おととい	1
おととし	1
おとな	1
おなか	1
おなじ	1
おにいさん	1
おねえさん	1
おばあさん	1
おばさん	1
おふろ	1
おべんとう	1
おぼえる	1
おまわりさん	1
おもい	1
おもしろい	1
およぐ	1
おりる	1
おわる	1
おんがく	1
おんな	1
おんなのこ	1
お兄さん	1
お姉さん	1
お弁当	1
お手洗い	1
お母さん	1
お父さん	1
お皿	1
お腹	1
お茶	1
お菓子	1
お酒	1
お金	1
お風呂	1
お～	1
かいしゃ	1
かいだん	1
かいもの	1
かう	1
かえす	1
かえる	1
かお	1
かかる	1
かぎ	1
かく	1
かける	1
かさ	1
かす	1
かぜ	1
かぞく	1
かた	1
かたかな	1
かてい	1
かど	1
かばん	1
かびん	1
かぶる	1
かみ	1
かようび	1
からい	1
からだ	1
かりる	1
かるい	1
かわ	1
かわいい	1
かんじ	1
がいこく	1
がいこくじん	1
がくせい	1
がっこう	1
き	1
きいろ	1
きいろい	1
きえる	1
きく	1
きた	1
きたない	1
きっさてん	1
きって	1
きっぷ	1
きのう	1
きゅう	1
きょう	1
きょうしつ	1
きょうだい	1
きょねん	1
きらい	1
きる	1
きれい	1
きんようび	1
ぎゅうにく	1
ぎゅうにゅう	1
ぎんこう	1
く	1
くすり	1
ください	1
くだもの	1
くち	1
くつ	1
くつした	1
くに	1
くもり	1
くもる	1
くらい	1
くる	1
くるま	1
くろ	1
くろい	1
ぐらい	1
けいかん	1
けさ	1
けす	1
けっこう	1
けっこん	1
げつようび	1
げんかん	1
げんき	1
こうえん	1
こうさてん	1
こうちゃ	1
こうばん	1
こえ	1
ここ	1
ここのか	1
ここのつ	1
こたえる	1
こちら	1
こっち	1
ことし	1
ことば	1
こども	1
この	1
こまる	1
これ	1
こんげつ	1
こんしゅう	1
こんな	1
こんばん	1
ご	1
ごご	1
ごぜん	1
ごはん	1
さあ	1
さいふ	1
さかな	1
さき	1
さく	1
さくぶん	1
さす	1
さとう	1
さむい	1
さらいねん	1
さん	1
さんぽ	1
さ来年	1
ざっし	1
し	1
しお	1
しかし	1
しごと	1
しずか	1
した	1
しち	1
しつもん	1
しぬ	1
しまる	1
しめる	1
しゃしん	1
しゅくだい	1
しょうゆ	1
しょくどう	1
しる	1
しろ	1
しろい	1
しんぶん	1
じかん	1
じしょ	1
じてんしゃ	1
じどうしゃ	1
じびき	1
じぶん	1
じゃ	1
じゃあ	1
じゅう	1
じゅぎょう	1
じょうず	1
じょうぶ	1
すいようび	1
すう	1
すき	1
すくない	1
すぐに	1
すこし	1
すずしい	1
すむ	1
する	1
すわる	1
せい	1
せいと	1
せっけん	1
せびろ	1
せまい	1
せん	1
