# TOCFL Vocabulary Database (Levels 1 - 6 / Novice-Superior)
# Word	Level
一	1
一下(子)/一下子儿	1
一下(子)/一下子兒	1
一些	1
一会儿/一会	1
一共/共	1
一半/一半儿	1
一半/一半兒	1
一定	1
一會兒/一會	1
一样	1
一樣	1
一点/一点儿/一点点	1
一直	1
一起	1
一點/一點兒/一點點	1
七	1
万	1
三	1
三明治	1
上(面)	1
上午	1
上学	1
上學	1
上班	1
上網	1
上网	1
上課	1
上课	1
下(面)	1
下午	1
下班	1
下課	1
下课	1
下雨	1
下雪	1
不	1
不好意思	1
不客气	1
不客氣	1
不过	1
不過	1
不錯	1
不错	1
世界	1
东/东部	1
东西	1
两	1
个	1
中	1
中午	1
中国	1
中國	1
中文	1
中間	1
中间	1
为什么	1
久	1
九	1
也	1
习惯	1
书	1
书店	1
买	1
乾淨	1
了	1
事/事儿	1
事/事兒	1
事情	1
二	1
五	1
交	1
人	1
什么	1
什麼/甚麼	1
今天	1
今年	1
介紹	1
介绍	1
从	1
从前	1
他/她	1
他们/她们	1
他們/她們	1
付	1
以为	1
以前	1
以后	1
以後	1
以為	1
件	1
份	1
休息	1
会	1
但是/但	1
位	1
低	1
住	1
作业	1
作業	1
你	1
你/妳	1
你们	1
你們/妳們	1
來	1
便宜	1
信	1
信封	1
信用卡	1
個	1
借	1
做	1
健康	1
像	1
儿子	1
元	1
先	1
先生	1
兒子	1
全部	1
兩	1
八	1
公共汽車/公車	1
公共汽车/公车	1
公司	1
公园	1
公園	1
六	1
关	1
其他/其它	1
再	1
再見	1
再见	1
写	1
冬天/冬	1
冰	1
冰淇淋	1
冰箱	1
决定	1
冷	1
冷气(机)	1
冷氣(機)	1
准备	1
几	1
出	1
刀(子)	1
分	1
分鐘	1
分钟	1
刚刚/刚	1
別	1
別人	1
别	1
别人	1
到	1
前(面)	1
前天	1
前年	1
剛剛/剛	1
办公室	1
办法	1
功課	1
功课	1
加	1
努力	1
包	1
包子	1
北/北部	1
医生/医师	1
医院	1
十	1
十字路口	1
千	1
半	1
华语/华文	1
卖	1
南/南部	1
厨房	1
去	1
去年	1
参加	1
参观	1
參加	1
參觀	1
又	1
叉(子)	1
双	1
发现	1
变	1
句	1
句子	1
只	1
叫	1
可以	1
可愛	1
可是	1
可爱	1
可能	1
台	1
台湾	1
台灣/臺灣	1
右(边)	1
右(邊)	1
号	1
号码	1
司机	1
