title,subtitle_count,tool,variant,format,elapsed_ms,lines,audio,snapshots,video,jobs
Detour,1018,subs2srs,subs2srs,tsv,371487,1018,1016,1016,1016,1
Detour,1018,vesta,single,tsv,299580,1018,1018,1018,1018,1
Detour,1018,vesta,single,apkg,299347,1018,1018,1018,1018,1
Detour,1018,vesta,max,tsv,60623,1018,1018,1018,1018,16
Detour,1018,vesta,max,apkg,61096,1018,1018,1018,1018,16
Good.Will.Hunting,1755,subs2srs,subs2srs,tsv,1156541,1755,1755,1755,1755,1
Good.Will.Hunting,1755,vesta,single,tsv,881420,1755,1755,1755,1755,1
Good.Will.Hunting,1755,vesta,single,apkg,880694,1755,1755,1755,1755,1
Good.Will.Hunting,1755,vesta,max,tsv,430555,1755,1755,1755,1755,16
Good.Will.Hunting,1755,vesta,max,apkg,432054,1755,1755,1755,1755,16
In.Bruges,1171,subs2srs,subs2srs,tsv,830271,1171,1098,1098,1098,1
In.Bruges,1171,vesta,single,tsv,748599,1171,1171,1171,1171,1
In.Bruges,1171,vesta,single,apkg,747954,1171,1171,1171,1171,1
In.Bruges,1171,vesta,max,tsv,481540,1171,1171,1171,1171,16
In.Bruges,1171,vesta,max,apkg,481451,1171,1171,1171,1171,16
Interstellar,1996,subs2srs,subs2srs,tsv,1354052,1996,1991,1991,1991,1
Interstellar,1996,vesta,single,tsv,715193,1996,1996,1996,1996,1
Interstellar,1996,vesta,single,apkg,715992,1996,1996,1996,1996,1
Interstellar,1996,vesta,max,tsv,217647,1996,1996,1996,1996,16
Interstellar,1996,vesta,max,apkg,218316,1996,1996,1996,1996,16
Snatch,1522,subs2srs,subs2srs,tsv,955049,1522,1465,1465,1465,1
Snatch,1522,vesta,single,tsv,917586,1522,1522,1522,1522,1
Snatch,1522,vesta,single,apkg,918299,1522,1522,1522,1522,1
Snatch,1522,vesta,max,tsv,434568,1522,1522,1522,1522,16
Snatch,1522,vesta,max,apkg,435915,1522,1522,1522,1522,16
Trainspotting,1384,subs2srs,subs2srs,tsv,685044,1384,1174,1174,1174,1
Trainspotting,1384,vesta,single,tsv,663086,1384,1384,1384,1384,1
Trainspotting,1384,vesta,single,apkg,663163,1384,1384,1384,1384,1
Trainspotting,1384,vesta,max,tsv,309168,1384,1384,1384,1384,16
Trainspotting,1384,vesta,max,apkg,310723,1384,1384,1384,1384,16
Uncut Gems,2315,subs2srs,subs2srs,tsv,1348710,2315,2280,2280,2280,1
Uncut Gems,2315,vesta,single,tsv,899669,2315,2315,2315,2315,1
Uncut Gems,2315,vesta,single,apkg,899454,2315,2315,2315,2315,1
Uncut Gems,2315,vesta,max,tsv,328733,2315,2315,2315,2315,16
Uncut Gems,2315,vesta,max,apkg,329298,2315,2315,2315,2315,16
Zootopia,1698,subs2srs,subs2srs,tsv,973578,1698,1684,1684,1684,1
Zootopia,1698,vesta,single,tsv,843744,1698,1698,1698,1698,1
Zootopia,1698,vesta,single,apkg,843666,1698,1698,1698,1698,1
Zootopia,1698,vesta,max,tsv,334151,1698,1698,1698,1698,16
Zootopia,1698,vesta,max,apkg,333947,1698,1698,1698,1698,16
