# German CEFR Vocabulary Database (A1=1, A2=2, B1=3, B2=4, C1=5, C2=6)
# Word	Level
a	1
ab	1
abend	1
aber	1
absolut	1
ach	1
acht	1
agent	1
ah	1
ahnung	1
all	1
alle	1
allein	1
alleine	1
allem	1
allen	1
alles	1
als	1
also	1
alt	1
alte	1
alten	1
alter	1
am	1
an	1
andere	1
anderen	1
anderes	1
anders	1
anfang	1
anfangen	1
angerufen	1
angst	1
anrufen	1
antwort	1
arbeit	1
arbeite	1
arbeiten	1
arbeitet	1
arsch	1
arschloch	1
art	1
arzt	1
auch	1
auf	1
aufhören	1
aufs	1
auge	1
augen	1
augenblick	1
aus	1
auto	1
außer	1
außerdem	1
baby	1
bald	1
bedeutet	1
behalten	1
bei	1
beide	1
beiden	1
beim	1
bekommen	1
bekommt	1
benutzt	1
bereit	1
bereits	1
bescheid	1
besonders	1
besser	1
beste	1
besten	1
bestimmt	1
bett	1
bevor	1
bewegung	1
bezahlen	1
bezahlt	1
bild	1
bin	1
bis	1
bis später	1
bisschen	1
bist	1
bitte	1
bitten	1
bleib	1
bleiben	1
bleibt	1
bloß	1
blut	1
boden	1
boss	1
brauche	1
brauchen	1
brauchst	1
braucht	1
bring	1
bringe	1
bringen	1
bringt	1
brot	1
bruder	1
buch	1
böse	1
büro	1
captain	1
chance	1
charlie	1
cool	1
da	1
dabei	1
dachte	1
dad	1
daddy	1
dafür	1
dagegen	1
damals	1
damit	1
danach	1
dank	1
danke	1
dann	1
daran	1
darauf	1
darf	1
darum	1
darüber	1
das	1
dass	1
davon	1
dazu	1
daß	1
dein	1
deine	1
deinem	1
deinen	1
deiner	1
dem	1
den	1
denen	1
denk	1
denke	1
denken	1
denkst	1
denkt	1
denn	1
der	1
des	1
deshalb	1
deswegen	1
deutsch	1
dich	1
die	1
dies	1
diese	1
diesem	1
diesen	1
dieser	1
dieses	1
ding	1
dinge	1
dir	1
direkt	1
doch	1
doktor	1
dollar	1
dort	1
dran	1
drauf	1
draußen	1
drei	1
drin	1
drüben	1
du	1
dumm	1
durch	1
dürfen	1
eben	1
echt	1
egal	1
eher	1
ehrlich	1
eigenen	1
eigentlich	1
ein	1
eine	1
einem	1
einen	1
einer	1
eines	1
einfach	1
einige	1
einmal	1
eins	1
einzige	1
eltern	1
ende	1
endlich	1
entscheidung	1
entschuldige	1
entschuldigen	1
entschuldigung	1
