# Spanish CEFR Vocabulary Database (A1=1, A2=2, B1=3, B2=4, C1=5, C2=6)
# Word	Level
de	1
que	1
no	1
a	1
la	1
el	1
y	1
es	1
en	1
lo	1
un	1
por	1
qué	1
me	1
una	1
los	1
se	1
te	1
con	1
para	1
está	1
mi	1
pero	1
sí	1
si	1
bien	1
eso	1
su	1
las	1
yo	1
del	1
como	1
aquí	1
tu	1
al	1
más	1
le	1
esto	1
todo	1
ya	1
estoy	1
ahora	1
muy	1
ha	1
esta	1
así	1
vamos	1
algo	1
hay	1
bueno	1
tengo	1
él	1
cuando	1
estás	1
sé	1
tú	1
nos	1
nada	1
cómo	1
este	1
o	1
he	1
ser	1
tiene	1
puedo	1
ella	1
quiero	1
hacer	1
fue	1
gracias	1
vez	1
era	1
soy	1
sólo	1
todos	1
porque	1
son	1
tienes	1
creo	1
voy	1
sabes	1
estaba	1
puede	1
eres	1
ese	1
usted	1
entonces	1
hola	1
solo	1
verdad	1
casa	1
tan	1
quién	1
sus	1
tiempo	1
dos	1
esa	1
nunca	1
dónde	1
va	1
oh	1
favor	1
mucho	1
mí	1
quieres	1
siento	1
señor	1
mejor	1
hace	1
has	1
decir	1
también	1
sobre	1
dios	1
sin	1
tenemos	1
están	1
ti	1
puedes	1
ver	1
hombre	1
vida	1
alguien	1
cosas	1
siempre	1
hasta	1
ahí	1
ir	1
años	1
antes	1
estar	1
ni	1
poco	1
día	1
uno	1
noche	1
hecho	1
mis	1
estamos	1
otra	1
acuerdo	1
trabajo	1
nosotros	1
parece	1
gente	1
sea	1
padre	1
mira	1
mismo	1
dijo	1
nadie	1
quiere	1
podría	1
hablar	1
vas	1
ellos	1
tal	1
pasa	1
fuera	1
después	1
han	1
desde	1
dinero	1
mundo	1
claro	1
momento	1
les	1
tener	1
estado	1
otro	1
había	1
mañana	1
tenía	1
madre	1
vale	1
lugar	1
haciendo	1
donde	1
seguro	1
sabe	1
podemos	1
tus	1
espera	1
nuevo	1
sido	1
cosa	1
hijo	1
allí	1
menos	1
tipo	1
amigo	1
gran	1
nuestro	1
mujer	1
mamá	1
luego	1
papá	1
días	1
dice	1
hoy	1
tres	1
buena	1
necesito	1
dije	1
oye	1
gusta	1
quería	1
será	1
haber	1
parte	1
todas	1
crees	1
buen	1
conmigo	1
nombre	1
mierda	1
nuestra	1
mal	1
debe	1
realmente	1
estas	1
aún	1
mío	1
toda	1
hacerlo	1
cada	1
visto	1
importa	1
contigo	1
tienen	1
hemos	1
razón	1
alguna	1
tanto	1
saber	1
hizo	1
veces	1
serio	1
ven	1
idea	1
eh	1
tarde	1
problema	1
hora	1
cierto	1
dicho	1
quien	1
demasiado	1
amor	1
entre	1
ve	1
pasado	1
familia	1
estos	1
policía	1
debería	1
ustedes	1
chica	1
esos	1
chicos	1
cuenta	1
haces	1
todavía	1
salir	1
algún	1
vaya	1
unos	1
veo	1
amigos	1
hermano	1
pensé	1
sabía	1
cabeza	1
ah	1
cariño	1
digo	1
van	1
hombres	1
buenas	1
somos	1
cualquier	1
forma	1
