# Portuguese CEFR Vocabulary Database (A1=1, A2=2, B1=3, B2=4, C1=5, C2=6)
# Word	Level
que	1
a	1
o	1
não	1
de	1
é	1
e	1
um	1
para	1
eu	1
uma	1
está	1
com	1
se	1
do	1
por	1
os	1
ele	1
mas	1
em	1
bem	1
isso	1
da	1
como	1
sim	1
as	1
no	1
mais	1
na	1
meu	1
aqui	1
me	1
muito	1
foi	1
ela	1
isto	1
estou	1
fazer	1
vamos	1
já	1
ser	1
vai	1
à	1
minha	1
só	1
ao	1
tem	1
tudo	1
te	1
porque	1
há	1
tenho	1
vou	1
tu	1
sei	1
quando	1
agora	1
estás	1
você	1
lá	1
então	1
ter	1
era	1
quem	1
onde	1
nada	1
ou	1
coisa	1
dizer	1
são	1
quero	1
estava	1
sou	1
seu	1
pode	1
mesmo	1
esta	1
eles	1
nós	1
sua	1
dos	1
todos	1
nos	1
mim	1
posso	1
bom	1
ver	1
este	1
casa	1
temos	1
tens	1
tua	1
nunca	1
estão	1
até	1
assim	1
teu	1
acho	1
falar	1
disse	1
ainda	1
tempo	1
também	1
ir	1
pai	1
sobre	1
vez	1
quê	1
quer	1
és	1
favor	1
depois	1
tão	1
melhor	1
mãe	1
talvez	1
olá	1
obrigado	1
noite	1
ti	1
sabes	1
sempre	1
deus	1
estamos	1
alguém	1
dia	1
certo	1
nem	1
alguma	1
vida	1
anos	1
dele	1
sem	1
vais	1
das	1
tinha	1
estar	1
queres	1
coisas	1
homem	1
pessoas	1
algo	1
pelo	1
ficar	1
boa	1
sabe	1
parece	1
claro	1
dois	1
verdade	1
tipo	1
preciso	1
antes	1
senhor	1
lhe	1
podes	1
apenas	1
faz	1
vocês	1
ninguém	1
trabalho	1
outra	1
espera	1
saber	1
comigo	1
vão	1
dinheiro	1
aí	1
podemos	1
pouco	1
essa	1
esse	1
grande	1
pois	1
pela	1
qualquer	1
disso	1
num	1
qual	1
desculpa	1
dela	1
hoje	1
toda	1
deve	1
mulher	1
queria	1
fora	1
filho	1
cá	1
seja	1
meus	1
nosso	1
olha	1
vá	1
daqui	1
sério	1
oh	1
nossa	1
certeza	1
diz	1
nome	1
às	1
outro	1
todo	1
dar	1
tentar	1
sair	1
têm	1
quanto	1
pensar	1
mal	1
volta	1
aconteceu	1
consigo	1
três	1
mundo	1
menos	1
amigo	1
contigo	1
embora	1
numa	1
passa	1
porquê	1
problema	1
carro	1
lado	1
vezes	1
nas	1
fez	1
seus	1
novo	1
merda	1
parte	1
todas	1
aos	1
obrigada	1
primeiro	1
será	1
lugar	1
voltar	1
pensei	1
algum	1
achas	1
vem	1
dentro	1
família	1
ali	1
razão	1
aquele	1
dias	1
fui	1
anda	1
querida	1
sabia	1
duas	1
ideia	1
hora	1
si	1
polícia	1
podem	1
forma	1
entre	1
caso	1
gosto	1
atrás	1
homens	1
devia	1
aquilo	1
amor	1
pessoa	1
ok	1
podia	1
uns	1
desde	1
somos	1
cabeça	1
horas	1
deles	1
fica	1
ajudar	1
tarde	1
momento	1
tal	1
tenha	1
pronto	1
fiz	1
foram	1
ia	1
cidade	1
amigos	1
encontrar	1
frente	1
sido	1
passar	1
deixar	1
vi	1
nenhum	1
gente	1
durante	1
seria	1
outros	1
entrar	1
chegar	1
nova	1
trabalhar	1
quase	1
desculpe	1
amanhã	1
tanto	1
fosse	1
história	1
irmão	1
cima	1
contra	1
morrer	1
maneira	1
suas	1
enquanto	1
alguns	1
ajuda	1
precisa	1
morto	1
primeira	1
porta	1
minhas	1
medo	1
morte	1
aquela	1
óptimo	1
caminho	1
vir	1
feliz	1
sinto	1
minutos	1
ouvir	1
desta	1
tive	1
neste	1
matar	1
cada	1
estes	1
acontecer	1
espero	1
ano	1
rapaz	1
precisamos	1
for	1
causa	1
feito	1
sorte	1
lamento	1
filha	1
acha	1
teus	1
levar	1
conta	1
estas	1
arma	1
pessoal	1
quarto	1
olhos	1
senhora	1
adeus	1
cara	1
disto	1
algumas	1
juntos	1
difícil	1
última	1
única	1
manhã	1
importante	1
poder	1
mãos	1
ei	1
água	1
começar	1
faço	1
perto	1
cuidado	1
sangue	1
nossos	1
semana	1
mesma	1
usar	1
significa	1
acredito	1
querem	1
cinco	1
acabou	1
problemas	1
corpo	1
altura	1
disseste	1
nisso	1
chefe	1
jogo	1
guerra	1
fala	1
procura	1
sabemos	1
fizeste	1
ouve	1
realmente	1
terra	1
havia	1
ontem	1
umas	1
deixa-me	1
dólares	1
comer	1
dormir	1
dá	1
escola	1
logo	1
querido	1
sabem	1
fim	1
deste	1
eram	1
pára	1
agente	1
equipa	1
rapariga	1
marido	1
calma	1
coração	1
segurança	1
viver	1
estado	1
parar	1
teve	1
segundo	1
muitas	1
quatro	1
mão	1
baixo	1
maior	1
meio	1
meses	1
mau	1
vê	1
ouvi	1
andar	1
rápido	1
número	1
vejo	1
mulheres	1
morreu	1
nenhuma	1
acordo	1
festa	1
fazes	1
capitão	1
raio	1
pais	1
suficiente	1
poderia	1
crianças	1
estavam	1
força	1
muitos	1
nesta	1
presidente	1
buscar	1
filhos	1
perder	1
esperar	1
viu	1
irmã	1
chega	1
possível	1
devias	1
sai	1
acabar	1
rapazes	1
precisas	1
elas	1
contar	1
idiota	1
olhar	1
vossa	1
teria	1
foste	1
estavas	1
pena	1
mil	1
longe	1
faça	1
penso	1
tivesse	1
tuas	1
pedir	1
estranho	1
importa	1
fácil	1
muita	1
veio	1
brincar	1
bebé	1
plano	1
devo	1
prazer	1
velho	1
conseguir	1
passado	1
tomar	1
além	1
jantar	1
dá-me	1
depressa	1
pergunta	1
tirar	1
pequeno	1
descobrir	1
sala	1
ah	1
telefone	1
trás	1
seis	1
culpa	1
vos	1
exactamente	1
possa	1
deixa	1
errado	1
vivo	1
menina	1
john	1
casamento	1
outras	1
espere	1
pensa	1
jack	1
nossas	1
correr	1
mudar	1
diga	1
paz	1
sentir	1
cama	1
gostava	1
sozinho	1
pelos	1
comida	1
sequer	1
falta	1
ficou	1
conheço	1
gosta	1
passou	1
bastante	1
deu	1
provavelmente	1
