# HSK Vocabulary Database (HSK 1 - 6)
# Word	Level
㝡	1
㧱	1
一	1
一下儿	1
一下兒	1
一些	1
一会儿	1
一半	1
一块儿	1
一塊兒	1
一會兒	1
一样	1
一樣	1
一点儿	1
一起	1
一边	1
一邊	1
一點兒	1
七	1
三	1
上	1
上午	1
上学	1
上學	1
上次	1
上班	1
上網	1
上网	1
上課	1
上课	1
上車	1
上车	1
上边	1
上邊	1
下	1
下午	1
下次	1
下班	1
下課	1
下课	1
下車	1
下车	1
下边	1
下邊	1
下雨	1
不	1
不大	1
不客气	1
不客氣	1
不对	1
不對	1
不用	1
不要	1
东	1
东西	1
东边	1
两	1
个	1
中	1
中午	1
中国	1
中國	1
中学	1
中学生	1
中學	1
中學生	1
中文	1
中間	1
中间	1
九	1
也	1
书	1
书包	1
书店	1
买	1
乹	1
乾	1
乾淨	1
亁	1
了	1
事	1
二	1
五	1
些	1
人	1
什么	1
什麼	1
今天	1
今年	1
介紹	1
介绍	1
从	1
他	1
他们	1
他們	1
们	1
件	1
休息	1
会	1
住	1
你	1
你们	1
你們	1
來	1
來到	1
便宜	1
個	1
們	1
做	1
做飯	1
做饭	1
傢	1
儿子	1
元	1
先	1
先生	1
兒子	1
兩	1
八	1
公司	1
六	1
关	1
关上	1
再	1
再見	1
再见	1
写	1
冣	1
冷	1
准备	1
几	1
出	1
出來	1
出去	1
出来	1
出租車	1
出租车	1
分	1
分鐘	1
分钟	1
別	1
別人	1
別的	1
别	1
别人	1
别的	1
到	1
前	1
前天	1
前边	1
前邊	1
前面	1
动	1
动作	1
動	1
動作	1
包	1
包子	1
北	1
北京	1
北边	1
北邊	1
医生	1
医院	1
十	1
千	1
午飯	1
午饭	1
半	1
半天	1
半年	1
卖	1
南	1
南边	1
南邊	1
去	1
去年	1
口	1
只	1
叫	1
可以	1
右	1
右边	1
右邊	1
号	1
吃	1
吃飯	1
吃饭	1
同学	1
同學	1
名字	1
后	1
后天	1
后边	1
后面	1
吗	1
吧	1
听	1
听写	1
听到	1
听见	1
告訴	1
告诉	1
呌	1
呢	1
咊	1
和	1
咲	1
哥	1
哥哥	1
哪	1
哪些	1
哪儿	1
哪兒	1
哪裏	1
哪裡	1
哪里	1
唱	1
唱歌	1
商场	1
商場	1
商店	1
問	1
問題	1
喂	1
喜欢	1
喜歡	1
喝	1
喫	1
嗎	1
四	1
回	1
回來	1
回到	1
回去	1
回家	1
回来	1
回答	1
国	1
国外	1
国家	1
图书馆	1
國	1
