# TOPIK Korean Vocabulary Database (Levels 1 - 6)
# Word	Level
가게	1
가깝다	1
가끔	1
가다	1
가르치다	1
가방	1
가볍다	1
가수	1
가슴	1
가운데	1
가을	1
가장	1
가져오다	1
가족	1
가지다	1
간호사	1
갈비	1
감기	1
감기약	1
감다	1
감사	1
감사하다	1
갑자기	1
값	1
강	1
같다	1
같이	1
개	1
개월	1
거	1
거기	1
거리	1
거울	1
거의	1
거절	1
걱정	1
걱정하다	1
건강	1
건강하다	1
건물	1
걷다	1
걸다	1
걸어가다	1
걸어오다	1
검은색	1
검정	1
것	1
게임	1
겨울	1
결혼	1
결혼식	1
결혼하다	1
경복궁	1
경주	1
경찰	1
경찰관	1
경찰서	1
경치	1
계란	1
계속	1
계시다	1
계절	1
계획	1
고기	1
고등학교	1
고등학생	1
고맙다	1
고양이	1
고프다	1
고향	1
곧	1
곳	1
공	1
공부	1
공부하다	1
공원	1
공중전화	1
공책	1
공항	1
공휴일	1
과	1
과일	1
과자	1
광주	1
괜찮다	1
교과서	1
교수	1
교실	1
교통	1
교통비	1
교회	1
구	1
구경	1
구두	1
구름	1
구십	1
구월	1
군인	1
굳다	1
권	1
귀	1
귀걸이	1
귀여워하다	1
그	1
그거	1
그것	1
그곳	1
그날	1
그동안	1
그때	1
그래	1
그래서	1
그러나	1
그러니까	1
그러면	1
그런데	1
그럼	1
그렇다	1
그렇지만	1
그릇	1
그리고	1
그리다	1
그림	1
그분	1
그저께	1
그쪽	1
극장	1
근처	1
금요일	1
급	1
기다리다	1
기말시험	1
기분	1
기숙사	1
기차	1
기차역	1
기차표	1
길	1
길다	1
김밥	1
김치	1
깎다	1
깨끗하다	1
꼭	1
꽃	1
꽃다발	1
꽃병	1
꽃집	1
꿈	1
끄다	1
끝	1
끝나다	1
끝내다	1
끼다	1
나	1
나가다	1
나다	1
나라	1
나무	1
나쁘다	1
나오다	1
나이	1
나중	1
날	1
날다	1
날씨	1
날씬하다	1
날짜	1
남녀	1
남대문	1
남대문시장	1
남동생	1
남산	1
남자	1
남쪽	1
남편	1
남학생	1
낮	1
낮다	1
낮잠	1
내	1
내년	1
내다	1
내려가다	1
내려오다	1
내리다	1
내일	1
냉면	1
냉장고	1
너	1
너무	1
넓다	1
넣다	1
네	1
넥타이	1
넷	1
넷째	1
년	1
노란색	1
노래	1
노래하다	1
노트	1
놀다	1
놀라다	1
농구	1
높다	1
놓다	1
누구	1
누나	1
눈	1
눈물	1
뉴스	1
늦다	1
다	1
다녀오다	1
다니다	1
다르다	1
다른	1
다리	1
다림질	1
다섯	1
다섯째	1
다시	1
다양	1
다음	1
다음날	1
닦다	1
단어	1
닫다	1
달	1
달다	1
달러	1
달력	1
닭	1
닭고기	1
담배	1
대	1
대구	1
대답	1
대답하다	1
대부분	1
대사관	1
대전	1
대학	1
대학교	1
대학생	1
대화	1
댁	1
더	1
덥다	1
도서관	1
도시	1
도와주다	1
도착	1
도착하다	1
독일	1
돈	1
돈가스	1
돌아가다	1
돌아오다	1
돕다	1
동대문	1
동물	1
동생	1
동안	1
동쪽	1
돼지	1
돼지고기	1
되다	1
두	1
둘	1
둘째	1
뒤	1
드리다	1
듣다	1
들다	1
들어가다	1
들어오다	1
등산	1
따뜻하다	1
딸	1
딸기	1
때	1
때문	1
떠나다	1
떡	1
또	1
똑같다	1
똑바로	1
뛰다	1
뜨겁다	1
라디오	1
라면	1
러시아	1
마리	1
마시다	1
마음	1
마지막	1
마트	1
마흔	1
만	1
만나다	1
만들다	1
많다	1
많이	1
말	1
말다	1
말레이시아	1
말씀	1
말씀하다	1
말하다	1
맑다	1
맛	1
맛없다	1
맛있다	1
매년	1
매달	1
매우	1
매일	1
매주	1
매표소	1
맥주	1
맵다	1
머리	1
먹다	1
먼저	1
멀다	1
메뉴	1
며칠	1
명	1
몇	1
모두	1
모든	1
모레	1
모르다	1
모자	1
목	1
목도리	1
목요일	1
목욕	1
몸	1
못	1
못하다	1
몽골	1
무겁다	1
무슨	1
무엇	1
문	1
문제	1
묻다	1
물	1
물건	1
물론	1
물어보다	1
뭐	1
미국	1
미안	1
미안하다	1
미역국	1
미터	1
밑	1
바꾸다	1
바나나	1
바다	1
바람	1
바로	1
바쁘다	1
바지	1
박물관	1
밖	1
반	1
반갑다	1
반바지	1
받다	1
받아쓰다	1
발	1
발음	1
밝다	1
밤	1
밥	1
방	1
방금	1
방학	1
배	1
배고프다	1
배부르다	1
배우다	1
배탈	1
백	1
백만	1
백화점	1
버리다	1
버스	1
번	1
번호	1
벌써	1
벗다	1
베트남	1
별	1
병	1
병문안	1
병원	1
보내다	1
보다	1
보통	1
복잡하다	1
볼펜	1
봄	1
부르다	1
부모	1
부모님	1
부부	1
부산	1
부엌	1
부인	1
부자	1
북쪽	1
분	1
분식	1
불	1
불고기	1
불다	1
비	1
비누	1
비디오	1
비빔밥	1
비슷하다	1
비싸다	1
비행기	1
빠르다	1
빨간색	1
빨리	1
빵	1
빵집	1
사	1
사거리	1
사과	1
사다	1
사람	1
사랑	1
사랑하다	1
사무실	1
사십	1
사용하다	1
사월	1
사이	1
사이다	1
사이즈	1
사장	1
사전	1
사진	1
사탕	1
산	1
산책	1
살	1
살다	1
삼	1
삼거리	1
삼겹살	1
삼십	1
삼월	1
상자	1
새	1
색	1
색깔	1
샌드위치	1
생각	1
생각하다	1
생기다	1
생선	1
생일	1
생활	1
샤워	1
서다	1
서로	1
서른	1
서울	1
서울역	1
서점	1
서쪽	1
선물	1
선물하다	1
선생	1
선생님	1
선선하다	1
설명	1
설명하다	1
설악산	1
설탕	1
세	1
세배	1
세수	1
세탁기	1
센티미터	1
셋	1
셋째	1
소개하다	1
소고기	1
소금	1
소파	1
소풍	1
소화제	1
속	1
손	1
손가락	1
손님	1
쇠고기	1
쇼핑	1
수	1
수건	1
수박	1
수업	1
수영	1
수영복	1
수영장	1
수요일	1
수첩	1
숙제	1
순두부찌개	1
숟가락	1
술	1
쉬다	1
쉰	1
쉽다	1
슈퍼마켓	1
스무	1
스물	1
스카프	1
스키	1
스트레스	1
스파게티	1
스포츠	1
슬프다	1
시	1
시간	1
시간표	1
시계	1
시다	1
시원하다	1
시월	1
시작	1
시작되다	1
시작하다	1
시장	1
시험	1
식당	1
식사	1
식사하다	1
식탁	1
신다	1
신문	1
신발	1
신분증	1
실례	1
실례하다	1
싫다	1
싫어하다	1
십	1
십만	1
십이월	1
십일월	1
싶다	1
싸다	1
싸우다	1
쌀쌀하다	1
쓰다	1
쓰레기	1
씨	1
씻다	1
아	1
아기	1
아내	1
아니	1
아니다	1
아니요	1
아들	1
아래	1
아름답다	1
아마	1
아무	1
아버지	1
아빠	1
아이	1
아이스크림	1
아저씨	1
아주	1
아주머니	1
아줌마	1
아직	1
아침	1
아파트	1
아프다	1
아홉	1
아흔	1
안	1
안경	1
안내문	1
안녕	1
안녕하다	1
안녕히	1
안다	1
안되다	1
앉다	1
않다	1
알다	1
앞	1
야구	1
약	1
약국	1
약사	1
약속	1
약속하다	1
양말	1
양복	1
양식집	1
양치질	1
얘기	1
얘기하다	1
어	1
어깨	1
어느	1
어디	1
어떠하다	1
어떤	1
어떻다	1
어렵다	1
어른	1
어린이	1
어머니	1
어서	1
어제	1
억	1
언니	1
언제	1
언제나	1
얼굴	1
얼마	1
얼마나	1
엄마	1
없다	1
에어컨	1
여권	1
여기	1
여덟	1
여동생	1
여든	1
여러	1
여러분	1
여름	1
여보세요	1
여섯	1
여자	1
여쭙다	1
여학생	1
여행	1
여행지	1
여행하다	1
역	1
역사	1
연말	1
연습	1
연습하다	1
연필	1
열	1
열다	1
열쇠	1
열심히	1
영	1
영국	1
영수증	1
영어	1
영화	1
옆	1
예	1
예매	1
예쁘다	1
예순	1
옛날	1
오	1
오늘	1
오다	1
오래	1
오래간만	1
오래되다	1
오랜만	1
오렌지	1
오르다	1
오른쪽	1
오빠	1
오십	1
오월	1
오전	1
오후	1
올라가다	1
올림	1
올해	1
옷	1
옷걸이	1
옷장	1
왜	1
왜냐하면	1
외국	1
외국어	1
외국인	1
왼쪽	1
요리	1
요리하다	1
요일	1
요즈음	1
요즘	1
우동	1
우리	1
우리나라	1
우산	1
우유	1
우체국	1
운동	1
운동장	1
운동하다	1
운동화	1
운전	1
운전하다	1
울다	1
울산	1
웃다	1
원	1
월	1
월요일	1
위	1
위험	1
위험하다	1
유명하다	1
유월	1
육	1
육교	1
육십	1
윷놀이	1
은행	1
음식	1
음악	1
의사	1
의자	1
이	1
이거	1
이것	1
이곳	1
이다	1
이때	1
이런	1
이렇다	1
이름	1
이번	1
이분	1
이삿짐	1
이십	1
이야기	1
이야기하다	1
이월	1
이제	1
이쪽	1
이해하다	1
인도네시아	1
인분	1
인사	1
인사하다	1
인천	1
일	1
일곱	1
일본	1
일본어	1
일식집	1
일어나다	1
일요일	1
일월	1
일주일	1
일찍	1
일하다	1
일흔	1
읽다	1
잃다	1
잃어버리다	1
입	1
입다	1
입장권	1
입학시험	1
있다	1
잊다	1
잊어버리다	1
잎	1
자기소개	1
자다	1
자동차	1
자동판매기	1
자리	1
자연	1
자장면	1
자전거	1
자주	1
작년	1
작다	1
잔	1
잘	1
잘하다	1
잠	1
잠깐	1
잠시	1
잠자다	1
잡다	1
잡수시다	1
잡지	1
잡채	1
장	1
장미	1
장소	1
재미	1
재미없다	1
재미있다	1
저	1
저거	1
저것	1
저곳	1
저금	1
저기	1
저녁	1
저분	1
저쪽	1
적다	1
전	1
전화	1
전화번호	1
전화하다	1
점심	1
점심시간	1
젓가락	1
정류장	1
정말	1
정형외과	1
정확	1
제	1
제일	1
제주도	1
조금	1
조심	1
조용하다	1
졸업	1
졸업하다	1
좀	1
종류	1
종이	1
좋다	1
좋아하다	1
죄송하다	1
주	1
주다	1
주말	1
주소	1
주스	1
주인	1
주일	1
주황색	1
죽다	1
준비	1
준비하다	1
중국	1
중국어	1
중요하다	1
중학교	1
중학생	1
즐겁다	1
지각	1
지갑	1
지금	1
지난달	1
지난주	1
지내다	1
지도	1
지우개	1
지우다	1
지하	1
지하철	1
지하철역	1
질문	1
질문하다	1
집	1
집들이	1
짜다	1
짧다	1
짬뽕	1
쪽	1
찌개	1
찍다	1
차	1
참	1
창문	1
찾다	1
책	1
책상	1
책장	1
처음	1
천	1
천만	1
천천히	1
첫째	1
청바지	1
청소	1
청소하다	1
체크무늬	1
초대	1
초대장	1
초대하다	1
초등학교	1
초콜릿	1
추다	1
축구	1
축하하다	1
출발하다	1
출석	1
춤	1
춤추다	1
춥다	1
취미	1
층	1
치다	1
치마	1
치약	1
치킨	1
친구	1
친절하다	1
칠	1
칠십	1
칠월	1
칠판	1
침대	1
칫솔	1
카드	1
카메라	1
칼	1
캐나다	1
커피	1
커피숍	1
컴퓨터	1
컵	1
케이크	1
켜다	1
켤레	1
코	1
콜라	1
콧물	1
크다	1
크리스마스	1
키	1
타다	1
탕수육	1
태국	1
태권도	1
태극기	1
태어나다	1
택배	1
택시	1
테니스	1
테니스장	1
테이블	1
텔레비전	1
토요일	1
튀기다	1
티브이	1
팀	1
파란색	1
파티	1
팔	1
팔다	1
팔십	1
팔월	1
퍼센트	1
편리	1
편안	1
편지	1
편찮다	1
포도	1
표	1
프라이팬	1
프랑스	1
피곤하다	1
피아노	1
피우다	1
피자	1
필요	1
필요하다	1
하나	1
하늘	1
하늘색	1
하다	1
하숙비	1
하지만	1
학교	1
학년	1
학생	1
한	1
한강	1
한국	1
한국말	1
한국어	1
한글	1
한번	1
한복	1
한식집	1
한옥	1
한자	1
한턱	1
할머니	1
할아버지	1
함께	1
항공권	1
항상	1
해	1
핸드폰	1
햄버거	1
허리	1
헬스클럽	1
형	1
호	1
호주	1
호텔	1
혼자	1
화	1
화내다	1
화요일	1
화장실	1
환자	1
환전	1
회사	1
회사원	1
회의	1
후	1
